fid,fb_certificate,like_avg_count,comment_avg_count,share_avg_count,friendtag_avg_count,class1_post_count,class2_post_count,class3_post_count,total_post_count,start_fans,stop_fans,fan_growth_rate
150260960605,2,2057.227273,552.9090909,351.6363636,950.6818182,1,4,17,22,17126136,17363555,0.013862964
414197668616801,2,1474.454545,40.40909091,72.45454545,5,1,0,21,22,14842213,15141867,0.020189307
151713051567596,0,1524.681818,68.63636364,371.7272727,139.3636364,8,8,6,22,15638,17068,0.091443919
174567875906128,0,60.91304348,19.13043478,21.7826087,17,3,2,18,23,4852,6276,0.293487222
601530866559001,2,2142.416667,39.75,53.91666667,17,2,19,3,24,357840,372404,0.040699754
923070624482805,2,495.5,43.95833333,39.95833333,84.70833333,2,8,14,24,7875,13042,0.656126984
248954465174600,0,391.32,10.48,15.68,10.16,19,2,4,25,67298,67754,0.006775833
126949930763408,0,1769.16,14.52,40.52,4.4,1,6,18,25,194884,204406,0.048859835
286146600001,0,8.68,0.16,0.28,0,8,9,8,25,3979,4008,0.007288263
188151501215824,0,127.7307692,1.192307692,4.115384615,0.153846154,18,5,3,26,13647,15800,0.157763611
223591315738,2,179.4230769,107.8461538,88.42307692,488.4230769,7,4,15,26,87039,92238,0.059731844
324273577645211,0,521.5769231,3.269230769,8,0.346153846,8,14,4,26,16820,19099,0.13549346
287709864938481,0,130.7407407,19.2962963,35.14814815,13.18518519,12,6,9,27,5415,7757,0.432502308
353812734713953,0,994.7037037,21.22222222,26.18518519,24.48148148,0,0,27,27,67057,70521,0.051657545
123897324016,0,1440.214286,26.25,34.75,19.35714286,11,10,7,28,179045,182228,0.017777654
366439094270,0,3475.714286,215.0357143,185.8571429,250.8571429,8,2,18,28,32203,38089,0.182778002
1444147462524870,0,4428.821429,456.4285714,451.7142857,365.9642857,14,4,10,28,127536,131927,0.034429494
189155207824587,2,50.89285714,0.357142857,1.107142857,0.035714286,14,13,1,28,1924205,1964582,0.020983731
360820761653,2,129.5862069,2.482758621,2.206896552,0.827586207,3,24,2,29,2121763,2248762,0.059855413
359854104118589,0,524.5862069,560.1724138,533.4827586,1030.62069,8,3,18,29,73915,81494,0.102536698
461859377194835,0,14.56666667,0.9,0.3,0.033333333,17,8,5,30,46145,45864,-0.0060895
10150152646565600,2,635.1333333,28.53333333,33.83333333,25.03333333,2,1,27,30,262078,269408,0.027968773
77322222971,0,2040.566667,127.8666667,132.2333333,71.86666667,6,4,20,30,36260,38078,0.050137893
586458848112855,1,343.2258065,3.548387097,12.29032258,0.806451613,3,12,16,31,158354,170469,0.076505803
537090766308350,0,56.25806452,0.258064516,13.32258065,0.032258065,8,14,9,31,25748,25825,0.002990524
1599383817009900,0,275.8064516,3.838709677,19.5483871,1.35483871,7,15,9,31,28910,31200,0.079211346
264188177010876,1,747.2424242,19.03030303,21.63636364,3.363636364,10,12,11,33,36431,38008,0.04328731
122656381098232,2,280.9393939,5.303030303,6.939393939,4.151515152,1,23,9,33,642318,671129,0.044854729
177612180793,2,633.6764706,293.3235294,282.9411765,390.4117647,5,19,10,34,103664747,105016836,0.013042901
1589628787966120,2,7799.441176,16.52941176,32.41176471,1.705882353,9,6,19,34,21052540,21496486,0.021087527
1113943068628470,0,1194.352941,33.88235294,23.02941176,27.88235294,0,32,2,34,154745,3309563,20.38720476
224451981016415,2,261.7142857,137.7714286,107.2,62.85714286,24,4,7,35,24725257,24778168,0.002139958
513876371989807,0,157.7777778,17.13888889,11.5,12.36111111,6,16,14,36,22719,23715,0.043839958
180390341995122,2,2600.75,248.3888889,196.4444444,284,4,8,24,36,44564767,46431465,0.041887305
730801643646856,2,391.9444444,27.77777778,25.97222222,42.08333333,6,10,20,36,10030171,10342320,0.031121005
728207190548689,0,63.47222222,3.444444444,4.472222222,2.805555556,1,28,7,36,37855,38947,0.028846916
168423776607421,0,545.8611111,5.277777778,30.22222222,1.083333333,19,9,8,36,93329,97118,0.040598313
170290829685289,0,113.8611111,2.388888889,3.555555556,0,21,8,7,36,25618,26124,0.019751737
1687189424896230,0,884.2162162,16.59459459,33.81081081,4.567567568,34,2,1,37,116508,120969,0.038289216
171212682949216,0,43.64864865,0.945945946,4,0.243243243,1,36,0,37,19239,19493,0.013202349
604492532912821,0,258.6486486,76.13513514,53.10810811,7.702702703,8,16,13,37,22991,24791,0.078291505
159761263417,2,95.21052632,1.289473684,3.289473684,0.315789474,7,25,6,38,1737512,1886796,0.085918256
616864385019829,2,284.0526316,27.05263158,7.736842105,24.60526316,19,10,9,38,39991,69861,0.746918057
386268178057359,2,681.7948718,147.5897436,190.025641,157.7179487,15,6,18,39,3879482,3968169,0.022860526
1594200430862510,0,51.92307692,15.30769231,15.05128205,8.256410256,32,4,3,39,20435,20960,0.025691216
152341009257,2,103.3589744,80.05128205,78.43589744,160.4102564,12,18,9,39,180393,193522,0.072779986
457468921128286,1,25.87179487,0.333333333,0.897435897,0.076923077,29,7,3,39,5427,6125,0.128616178
354389870307,1,286.8974359,11.17948718,8.897435897,2.538461538,9,4,26,39,193241,193226,-7.76E-05
232299780280608,0,30.20512821,0.692307692,3.692307692,0,27,10,2,39,37037,37269,0.006264006
424429247586325,0,84.48717949,17.53846154,17.25641026,38.84615385,22,7,10,39,39719,39969,0.006294217
118336981573694,2,95.05128205,6.743589744,15.1025641,5.538461538,17,3,19,39,503060,504402,0.002667674
183480345033569,2,493.7,80.75,56.625,60.975,8,16,16,40,2284252,2366447,0.035983333
139589396215732,1,48.925,15,16.1,14.175,16,9,15,40,29364,29795,0.014677837
1506514762998970,2,62.85,1.825,2.875,1.25,15,19,6,40,2893074,2987619,0.032679772
171280426263499,2,80.375,45.6,38.95,41.7,10,1,29,40,17109828,17724343,0.035915908
196547797089754,0,33.25,0.575,3.825,0.475,5,30,5,40,27621,28295,0.024401723
1150749768293000,0,16.225,0.8,0.25,0,2,25,13,40,22709,23265,0.024483685
643647909175865,0,824.6097561,343.6585366,317.5121951,648.5121951,5,5,31,41,90162,97421,0.080510636
758362110876541,0,53.24390244,0.43902439,2.390243902,0,2,29,10,41,60726,60853,0.002091361
216135085189212,2,798.195122,12.26829268,27.02439024,3.365853659,15,7,19,41,88899,94234,0.060011924
140574649321224,2,1486.619048,4.642857143,12.76190476,1.214285714,3,39,0,42,6688812,6815403,0.018925782
283161705067,2,240.1428571,63.02380952,70.85714286,52.21428571,18,5,19,42,2389401,2448540,0.024750555
419185174791925,0,1042.02381,10.14285714,23.4047619,1.285714286,25,4,13,42,120804,124101,0.027292143
1684586355152400,0,479.7857143,3.142857143,7.357142857,0.904761905,9,17,16,42,118682,120590,0.016076574
100860886668027,1,597.2093023,12.88372093,27.65116279,4.023255814,24,9,10,43,69408,71816,0.034693407
795128307199738,2,1597.909091,668.9090909,644.5454545,1295.295455,2,4,38,44,458561,468559,0.021802988
327434517420177,0,45.18181818,0.454545455,1.5,0.136363636,24,16,4,44,62846,62666,-0.002864144
147420985293458,0,525.0681818,86,70.88636364,36.18181818,11,21,12,44,84134,88131,0.047507547
351894464883065,2,920.0454545,26.68181818,35.18181818,18.09090909,26,11,7,44,29435663,30504914,0.036325018
1492820824263800,1,173.8222222,10.55555556,14.08888889,18.97777778,13,7,25,45,42026,43161,0.027007091
324725030936128,2,227.7555556,5.6,8.088888889,5.688888889,8,0,37,45,551373,583177,0.057681461
182373771797518,1,1667.044444,114.4888889,173.2,123.2444444,22,4,19,45,161511,169482,0.049352676
350438191643697,2,234.0869565,61.80434783,82.63043478,124.2608696,11,14,21,46,4134598,4293560,0.038446785
139129362880910,0,118.0869565,11.41304348,9.847826087,0.369565217,24,13,9,46,30328,30808,0.015826959
363470173013,2,270.326087,24.45652174,28.93478261,33.7826087,25,6,15,46,29436,32891,0.117373284
151334158388197,0,13.04347826,1.239130435,2.630434783,1.760869565,9,21,16,46,5927,6129,0.034081323
251538521716188,0,123.5319149,37.78723404,41.38297872,38.68085106,18,14,15,47,73593,75952,0.032054679
224847831336,2,123.5531915,38.12765957,39.89361702,95.57446809,19,3,25,47,2414649,2465496,0.021057719
893971203963485,2,990.75,86.02083333,79.20833333,104.6666667,29,4,15,48,4682679,4779335,0.020641176
